Total_Duration_Minute,Total_Distance,Number_Of_Stops
1305.0,2504,40
650.0,581,6
660.0,581,6
770.0,760,6
710.0,761,6
225.0,1693,13
255.0,1694,13
965.0,883,31
975.0,885,33
780.0,715,22
785.0,716,21
435.0,425,13
425.0,425,13
360.0,360,12
345.0,361,13
390.0,360,19
390.0,361,19
255.0,2156,11
260.0,2155,11
150.0,138,4
150.0,138,4
715.0,2169,41
750.0,2168,40
0.0,2751,48
60.0,2748,48
970.0,893,24
960.0,899,22
545.0,2163,12
520.0,2163,11
960.0,913,21
1000.0,916,22
910.0,2386,36
985.0,2389,35
1395.0,2595,14
1295.0,2595,14
660.0,649,15
670.0,649,16
780.0,738,17
785.0,737,18
460.0,492,10
455.0,492,11
495.0,492,11
500.0,492,12
370.0,360,12
365.0,361,13
1365.0,2899,25
95.0,2898,26
175.0,2991,32
315.0,2988,31
1330.0,2786,29
5.0,2782,28
1390.0,2650,28
40.0,2651,28
675.0,2257,9
790.0,2258,9
1050.0,2653,15
1215.0,2652,15
345.0,336,14
360.0,335,15
510.0,1893,41
530.0,1895,42
355.0,360,8
355.0,361,8
1385.0,2579,44
1365.0,2579,44
705.0,665,18
700.0,665,18
680.0,2005,24
650.0,2004,24
1095.0,2407,32
1160.0,2406,32
795.0,722,11
745.0,722,11
1085.0,2348,25
1045.0,2343,24
550.0,526,9
560.0,529,9
485.0,491,8
485.0,493,9
455.0,491,11
455.0,493,12
640.0,581,14
640.0,582,14
465.0,491,12
455.0,493,12
490.0,491,7
470.0,493,8
675.0,617,14
670.0,616,14
965.0,883,18
940.0,885,18
1005.0,918,19
1005.0,920,20
610.0,528,11
650.0,528,14
665.0,652,22
700.0,651,22
970.0,914,21
1005.0,916,21
920.0,901,14
965.0,903,14
860.0,791,16
850.0,793,17
100.0,1549,26
110.0,1548,27
410.0,391,14
405.0,390,14
740.0,2292,20
865.0,2294,20
650.0,651,17
620.0,650,17
420.0,430,14
425.0,429,14
330.0,358,9
355.0,358,9
650.0,2056,37
625.0,2059,36
380.0,350,13
365.0,350,13
410.0,1718,21
395.0,1720,21
335.0,1662,46
360.0,1662,46
160.0,1669,18
130.0,1669,16
530.0,491,17
530.0,488,17
770.0,718,21
755.0,719,21
720.0,658,13
720.0,658,13
865.0,790,16
870.0,790,16
720.0,661,23
720.0,661,23
710.0,686,11
735.0,686,11
615.0,575,21
615.0,575,21
700.0,708,12
670.0,708,12
1025.0,2243,21
1135.0,2238,20
385.0,353,15
375.0,353,15
475.0,441,19
475.0,438,19
320.0,305,14
320.0,305,14
830.0,797,17
825.0,798,17
735.0,712,12
775.0,710,12
770.0,744,19
750.0,743,19
1420.0,1305,24
1430.0,1305,24
240.0,1572,19
245.0,1578,19
775.0,711,17
775.0,711,17
615.0,587,14
625.0,586,14
145.0,1590,16
205.0,1589,16
645.0,598,11
640.0,598,11
1425.0,1295,22
1430.0,1297,22
910.0,2148,29
930.0,2151,29
1260.0,2602,32
1385.0,2602,32
765.0,710,15
775.0,708,15
680.0,623,17
680.0,623,16
535.0,1843,29
555.0,1840,28
320.0,314,4
315.0,314,4
770.0,707,22
770.0,707,24
400.0,1860,32
415.0,1860,31
530.0,2076,21
700.0,2076,21
750.0,688,21
750.0,689,21
620.0,1900,41
575.0,1895,40
555.0,1972,44
545.0,1979,42
210.0,1701,18
235.0,1709,18
240.0,254,8
245.0,253,9
370.0,1794,29
340.0,1788,29
1395.0,1291,19
1260.0,1294,19
300.0,1774,13
315.0,1774,13
500.0,504,15
510.0,503,16
1265.0,1255,12
1305.0,1266,12
1270.0,1297,9
1320.0,1300,9
330.0,323,14
350.0,323,15
1210.0,1222,21
1255.0,1222,21
860.0,725,12
795.0,722,12
795.0,2097,63
810.0,2098,64
635.0,1891,24
635.0,1891,25
505.0,504,14
510.0,503,14
245.0,1664,35
255.0,1663,36
130.0,1664,15
185.0,1663,17
835.0,2148,43
855.0,2141,43
200.0,1510,21
165.0,1510,21
190.0,185,5
190.0,186,5
1330.0,1312,18
1390.0,1305,18
0.0,1412,17
1385.0,1409,17
970.0,889,31
